title,message,lat,lng,currency,amount,is_physical,delay,dropped_on
A Gift For You,29.570651859658092,-98.60817734563248,100.0,true,5,2015-05-20T12:45:00.000Z
Jungle boogie,29.508842984980756,-98.51732078631377,34.5,false,0,2015-05-20T12:45:00.000Z
Cinnabon,29.56961801151751,-98.52800173812655,1200.0,false,24,2015-05-20T12:45:00.000Z
Hoobastank, 39.421, -106.082017, true, 0, 2015-05-20T12:45:00.000Z
Beautiful Lake View, 39.616983, -106.045033, true, 0, 2015-04-20T12:45:00.000Z
Superior Bronze, 39.955733, -105.168167, true, 0, 2015-03-20T12:45:00.000Z
Wombat Walk, 39.616033, -107.809033, true, o, 2015-02-20T12:45:00.000Z
Did Mondo Lose This?, 40.21165, -105.230183333333, true, o, 2015-01-20T12:45:00.000Z
Kimchi, 38.854017, -104.775417, true, o, 2015-05-14T12:45:00.000Z
Under the Lights, 38.88085, -104.7969, true, o, 2015-05-11T12:45:00.000Z
Piano or Something, 39.561, -104.99, true 0, 2015-05-19T12:45:00.000Z
Rute Valley Tree, 38.928033, -104.863133, true, o, 2015-05-03T12:45:00.000Z
Fairfax's very own Buckskin, 38.945117, -104.73695, true, o, 2015-05-05T12:45:00.000Z
